Postinumero,Postinumeroalueen nimi,Postinumeroalueen pinta-ala,"Asukkaat yhteensä, 2018 (HE)","Miehet, 2018 (HE)","Naiset, 2018 (HE)","Asukkaiden keski-ikä, 2018 (HE)","0-2-vuotiaat, 2018 (HE)","3-6-vuotiaat, 2018 (HE)","Perusasteen suorittaneet, 2018 (KO)","Koulutetut yhteensä, 2018 (KO)","Ylioppilastutkinnon suorittaneet, 2018 (KO)","Ammatillisen tutkinnon suorittaneet, 2018 (KO)","Alemman korkeakoulututkinnon suorittaneet, 2018 (KO)","Ylemmän korkeakoulututkinnon suorittaneet, 2018 (KO)","Asukkaiden keskitulot, 2017 (HR)","Asukkaiden mediaanitulot, 2017 (HR)","Alimpaan tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Keskimmäiseen tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Ylimpään tuloluokkaan kuuluvat asukkaat, 2017 (HR)","Taloudet yhteensä, 2018 (TE)","Talouksien keskikoko, 2018 (TE)","Asumisväljyys, 2018 (TE)","Nuorten yksinasuvien taloudet, 2018 (TE)","Lapsettomat nuorten parien taloudet, 2018 (TE)","Lapsitaloudet, 2018 (TE)","Pienten lasten taloudet, 2018 (TE)","Alle kouluikäisten lasten taloudet, 2018 (TE)","Kouluikäisten lasten taloudet, 2018 (TE)","Teini-ikäisten lasten taloudet, 2018 (TE)","Aikuisten taloudet, 2018 (TE)","Eläkeläisten taloudet, 2018 (TE)","Talouksien keskitulot, 2017 (TR)","Talouksien mediaanitulot, 2017 (TR)","Alimpaan tuloluokkaan kuuluvat taloudet, 2017 (TR)","Keskimmäiseen tuloluokkaan kuuluvat taloudet, 2017 (TR)","Ylimpään tuloluokkaan kuuluvat taloudet, 2017 (TR)","Työpaikat yhteensä, 2017 (TP)","Asukkaat yhteensä, 2017 (PT)","Työlliset, 2017 (PT)","Työttömät, 2017 (PT)","Lapset 0-14 -vuotiaat, 2017 (PT)","Opiskelijat, 2017 (PT)","Eläkeläiset, 2017 (PT)","Muut, 2017 (PT)",postitoimipaikka,postitoimipaikka_sv,lyhenne,lyhenne_sv,alkupvm,loppupvm,postinumerokunta,laaninimi_sv,kuntaalkupvm,elynimi_en,laanikoodi,avinimi_sv,kielisuhdenimi_sv,laaninimi,kuntaryhmanimi_sv,kuntanimi,maakuntanimi_en,avinimi_en,maakuntakoodi,seutukuntakoodi,kuntanimi_en,kuntaryhmanimi_en,elynimi_sv,kielisuhdenimi,seutukuntanimi_en,kuntakoodi,elykoodi,elynimi,kuntanimi_sv,laaninimi_en,seutukuntanimi_sv,kielisuhdekoodi,maakuntanimi,avinimi,kuntaryhmanimi,kuntaloppupvm,kielisuhdenimi_en,avikoodi,seutukuntanimi,maakuntanimi_sv,kuntaryhmakoodi,frequency
50300,Rämälä (Mikkeli),62067924,329,170,159,43,7,18,68,191,8,145,23,15,22162,20620,62,150,37,141,"2,3","49,0",4,5,36,6,15,19,12,57,50,41204,35892,34,85,16,40,324,136,11,63,16,87,1130,MIKKELI,MIKKELI,MLI,0,2011-02-28,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,18
50350,Norola (Mikkeli),25314811,320,165,155,44,6,14,53,200,6,152,22,20,25710,22615,41,161,48,131,"2,4","48,3",2,2,36,6,14,17,18,51,46,48793,44091,20,85,27,56,324,151,14,62,19,72,1131,NOROLA,NOROLA,0,0,1988-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,14
50500,Tuukkala-Kaituenmäki (Mikkeli),6451494,1506,754,752,44,46,62,219,1017,46,727,159,85,22896,21003,195,891,174,731,"2,0","43,6",53,31,151,42,78,73,53,370,211,38251,32750,151,480,104,174,1528,644,78,232,83,452,1132,MIKKELI,MIKKELI,MLI,0,1996-06-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,62
50520,Moision Sairaala-alue (Mikkeli),1032157,122,61,61,43,0,3,21,88,8,49,14,17,23269,22059,18,77,19,84,"1,4","48,9",28,5,8,0,3,3,3,54,23,30907,24617,24,45,13,239,130,58,7,15,8,36,1133,MIKKELI,MIKKELI,MLI,0,1986-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,3
50600,Karikko (Mikkeli),58615739,4741,2358,2383,41,158,243,649,2915,135,1795,589,396,24907,23399,516,2379,725,1984,"2,3","43,4",93,68,636,136,281,303,249,764,592,44318,41777,333,1317,350,1141,4815,2127,185,975,343,1100,1134,MIKKELI,MIKKELI,MLI,0,1988-11-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,243
50670,Otava (Mikkeli),102851949,1843,952,891,41,58,108,337,1074,29,798,165,82,21914,20610,294,947,183,845,"2,2","41,7",44,23,216,54,119,102,89,343,290,36996,31964,242,514,98,372,1880,760,123,384,118,448,1135,OTAVA,OTAVA,0,0,1988-11-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,108
50700,Syysjärvi (Mikkeli),39538482,670,337,333,43,22,28,82,437,28,273,79,57,27329,24346,66,288,119,265,"2,5","49,2",3,8,75,20,34,34,35,115,79,52308,47715,33,144,70,183,605,287,27,104,44,135,1136,MIKKELI,MIKKELI,MLI,0,2011-02-28,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,28
50770,Korpikoski (Mikkeli),81547845,247,127,120,44,11,9,46,153,7,115,24,7,21989,20742,39,126,35,109,"2,3","49,7",3,1,26,11,13,9,8,43,41,38795,35560,22,77,15,38,249,108,13,41,13,68,1137,KORPIKOSKI,KORPIKOSKI,0,0,1988-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,9
50800,Annilanselkä (Mikkeli),54547132,538,274,264,48,6,19,87,362,13,218,73,58,31350,24067,91,234,132,242,"2,2","57,9",3,4,49,6,21,27,16,87,108,59646,45461,31,143,67,135,550,231,20,77,30,182,1138,MIKKELI,MIKKELI,MLI,0,2011-02-28,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,19
50970,Ihastjärvi (Mikkeli),137111052,2487,1257,1230,37,71,127,343,1522,96,933,317,176,23462,21459,408,1110,343,1107,"2,2","38,6",175,59,330,65,146,160,141,578,201,39111,33548,340,611,150,239,2508,1101,102,528,270,442,1139,MIKKELI,MIKKELI,MLI,0,2000-06-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,127
51130,Vanhamäki (Mikkeli),84075792,156,91,65,53,2,3,40,96,4,85,4,3,18591,15239,45,74,15,77,"2,0","55,8",0,0,10,2,4,5,6,29,38,32378,28329,32,36,9,25,156,47,10,17,7,68,1140,VANHAMÄKI,VANHAMÄKI,0,0,1986-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,3
51200,Kangasniemi Keskus (Kangasniemi),444720635,3799,1854,1945,52,59,120,1092,2163,82,1649,277,155,20601,17629,869,2070,359,2064,"1,8","46,7",113,40,291,51,121,156,120,734,1046,31826,26051,790,1098,209,1285,3851,1236,170,468,160,1702,1141,KANGASNIEMI,KANGASNIEMI,0,0,1988-11-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,120
51260,Tahkomäki (Kangasniemi),74587487,160,92,68,44,6,6,40,81,2,64,10,5,21390,19393,33,77,13,66,"2,4","46,2",4,0,17,4,9,7,9,22,28,40838,39059,15,44,6,22,163,54,8,31,13,51,1142,TAHKOMÄKI,TAHKOMÄKI,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,6
51270,Kutemajärvi (Kangasniemi),125149787,205,109,96,53,4,6,46,137,3,113,10,11,21517,18203,59,101,29,103,"2,0","59,4",5,0,14,3,7,4,6,41,49,38923,37146,32,54,19,30,213,88,13,16,12,76,1143,KUTEMAJÄRVI,KUTEMAJÄRVI,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,6
51310,Levä (Kangasniemi),112226335,133,75,58,56,1,1,42,73,7,52,4,10,22501,18904,34,59,24,71,"1,8","60,8",1,0,8,1,2,5,4,21,43,35969,27585,25,30,17,16,136,37,6,17,4,69,1144,LEVÄ,LEVÄ,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,1
51335,Kaihlamäki (Kangasniemi),5436279,46,22,24,44,1,2,9,26,0,20,3,3,22342,23179,5,26,2,21,,,,,,,,,,,,,,,,,1,45,20,0,9,3,11,1145,KAIHLAMÄKI,KAIHLAMÄKI,0,0,1997-11-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,2
51340,Hännilä-Särkiharju (Kangasniemi),137515813,282,151,131,50,1,10,82,158,7,130,14,7,19820,16443,94,124,28,131,"2,2","50,0",1,1,23,1,8,15,10,41,67,36270,28964,47,74,14,31,293,108,11,38,16,110,1146,HÄNNILÄ,HÄNNILÄ,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,10
51360,Koivula-Synsiö (Kangasniemi),141349500,178,99,79,50,4,4,41,111,4,89,9,9,21731,17608,48,77,30,90,"2,0","55,4",2,1,13,3,6,5,8,36,42,37384,31358,33,47,11,13,182,66,12,22,8,70,1147,KOIVULA,KOIVULA,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,4
51380,Synsiö (Kangasniemi),14210413,47,26,21,47,3,2,13,26,1,20,3,2,22110,19595,15,20,10,21,,,,,,,,,,,,,,,,,3,54,21,3,8,1,16,1148,SYNSIÖ,SYNSIÖ,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,2
51420,Harjumaa-Pajulankylä (Mikkeli),74459514,219,119,100,51,2,4,57,139,5,114,9,11,22774,19510,61,97,39,104,"2,1","52,8",1,1,18,2,5,4,11,44,47,43225,37706,32,55,17,34,231,102,9,21,17,78,1149,HARJUMAA,HARJUMAA,0,0,1986-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,4
51430,Läsäkoski (Kangasniemi),47213862,80,41,39,57,1,2,24,50,1,40,8,1,21074,19437,19,54,7,41,"2,0","57,1",1,0,3,1,1,2,1,14,24,39207,34940,8,29,6,16,86,37,3,6,0,38,1150,LÄSÄKOSKI,LÄSÄKOSKI,0,0,1997-11-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,2
51440,Vuojalahti (Kangasniemi),105883858,240,132,108,50,4,7,62,145,5,117,15,8,22034,18847,62,107,38,118,"2,0","53,0",4,1,17,4,6,7,10,49,53,40049,33168,28,63,23,62,238,106,8,25,9,82,1151,VUOJALAHTI,VUOJALAHTI,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,7
51450,Pajulankylä (Mikkeli),26353052,50,26,24,53,1,2,18,27,0,20,5,2,19877,15782,17,25,7,24,,,,,,,,,,,,,,,,,16,54,23,1,5,1,22,1152,PAJULANKYLÄ,PAJULANKYLÄ,0,0,1986-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,2
51460,Luusniemi (Kangasniemi),103234815,201,111,90,49,3,5,57,114,6,84,14,10,20860,19303,49,98,28,92,"2,2","52,3",4,1,15,2,5,9,7,34,43,38680,33589,24,57,14,40,207,87,11,27,7,70,1153,LUUSNIEMI,LUUSNIEMI,0,0,1986-01-01,NULL,213,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Landsbygdskommuner,Kangasniemi,Etelä-Savo,Eastern Finland AVI,10,101,Kangasniemi,Rural municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,213,7,Etelä-Savon ELY-keskus,Kangasniemi,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Maaseutumaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,3,5
51520,Hiirola (Mikkeli),90791310,421,214,207,45,13,18,91,249,8,191,29,21,21694,19978,82,211,55,195,"2,2","44,9",6,3,44,13,22,25,14,74,80,38379,33700,55,116,26,44,433,180,19,73,21,131,1154,HIIROLA,HIIROLA,0,0,1986-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,18
51540,Kalvitsa (Mikkeli),168146777,324,173,151,48,12,13,94,177,7,137,24,9,21507,17886,82,146,42,152,"2,1","49,3",3,2,27,11,16,12,7,52,77,38075,32333,49,84,20,58,321,121,12,44,14,119,1155,KALVITSA,KALVITSA,0,0,1988-11-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,13
51600,Haukivuori Keskus-Piitkäaho (Mikkeli),258187649,1381,667,714,52,21,48,405,758,29,601,76,52,21270,17563,309,741,142,719,"1,9","47,9",17,7,110,20,47,58,51,233,380,32959,27009,281,380,71,325,1428,431,77,193,62,637,1156,HAUKIVUORI,HAUKIVUORI,0,0,1988-11-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,48
51620,Pitkäaho (Mikkeli),9049911,18,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,0,19,,,,,,1157,PITKÄAHO,PITKÄAHO,0,0,1986-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,0
51670,Nykälä (Mikkeli),88777387,135,66,69,55,2,3,31,89,5,76,5,3,19406,15884,42,65,13,70,"1,9","62,9",2,0,6,2,2,4,4,29,36,33994,30164,25,34,10,20,135,42,7,11,9,62,1158,NYKÄLÄ,NYKÄLÄ,0,0,1986-01-01,NULL,491,NULL,1990-01-01,South Savo ELY Centre,NULL,Östra Finlands Regionalförvaltningsverk,Enspråkigt finska kommuner,NULL,Urbana kommuner,Mikkeli,Etelä-Savo,Eastern Finland AVI,10,101,Mikkeli,Urban municipalities,NTM-centralen i Södra Savolax,Yksikielinen suomenkielinen kunta,NULL,491,7,Etelä-Savon ELY-keskus,St Michel,NULL,S:t Michel,0,Etelä-Savo,Itä-Suomen Aluehallintovirasto,Kaupunkimaiset kunnat,NULL,Monolingual Finnish-speaking municipality,3,Mikkeli,Södra Savolax,1,3
