toimipaikka_oid,nimi,nimi_sv,varhaiskasvatuspaikat,jarjestamismuoto_koodi,kasvatusopillinen_jarjestelma_koodi,toimipaikka_kayntiosoite,toimipaikka_kayntiosoite_postinumero,toimipaikka_kayntiosoite_postitoimipaikka,toimintamuoto_koodi,varda_toiminnallinenpainotus.toimintapainotus_kytkin,tp01_musiikki,tp02_liikunta,tp03_kuvataide,tp04_tiede,tp05_draama,tp06_ymparisto_ja_luonto,tp07_seikkailu,tp08_media,tp09_maailmankatsomuksellinen,tp99_muu,kielipainotus_kytkin,kielipainotus_fi,kielipainotus_sv,kielipainotus_en,kielipainotus_muu,alkamis_pvm,paattymis_pvm,jarjestaja_oid,jarjestaja_nimi,jarjestaja_y_tunnus,jarjestaja_yritysmuoto,jarjestaja_ytjkieli,jarjestaja_kayntiosoite,jarjestaja_kayntiosoite_postinumero,jarjestaja_kayntiosoite_postitoimipaikka,jarjestaja_alkamis_pvm,jarjestaja_paattymis_pvm
1.2.246.562.10.64807598723,Päiväkoti Tuulimylly,Päiväkoti Tuulimylly,27,['jm01'],kj98,Lepaantie 109A,14610,LEPAA,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2010-08-01,,1.2.246.562.10.41791878048,Euran kunta,0132239-4,KUNTA,,Satakunnankatu 12,27510,EURA,1978-03-15,
1.2.246.562.10.64809876143,Haapaniemen päiväkoti,Haapaniemen päiväkoti,49,['jm01'],kj98,Ristonmäentie 4,40820,HAAPANIEMI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-09-01,,1.2.246.562.10.20528516584,Valtimon kunta,0207709-5,KUNTA,,Kunnantie 1,75700,VALTIMO,1978-06-30,
1.2.246.562.10.64914107657,Hovinsaaren koulun esiopetus,Hovinsaaren koulun esiopetus,14,['jm01'],kj98,Ruunumaankatu 2,48200,KOTKA,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,0,0,,2007-08-13,,1.2.246.562.10.89906837417,Ranuan kunta,0191974-8,KUNTA,,Aapiskuja 6 B,97700,RANUA,1978-03-15,
1.2.246.562.10.64941365955,RUONAN PÄIVÄKOTI ISÄNNÄNTIE,RUONAN PÄIVÄKOTI ISÄNNÄNTIE,33,['jm01'],kj98,ISÄNNÄNTIE 2,21100,NAANTALI,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,,1973-01-01,,1.2.246.562.10.21867246585,Someron kaupunki,0153082-0,KUNTA,,JOENSUUNTIE 20,31400,SOMERO,1978-03-15,
1.2.246.562.10.64971949249,Liivuoren Päiväkoti,Liivuoren Päiväkoti,213,['jm01'],kj98,Liivuorentie 22,13500,Hämeenlinna,tm01,False,0,0,1,0,0,0,0,1,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.90285872595,Pyhäjoen kunta,0189127-1,KUNTA,,Kuntatie 1,00000,,1978-03-15,
1.2.246.562.10.64985681192,Hiukkavaaran monitoimitalo Taikapolku,Hiukkavaaran monitoimitalo Taikapolku,136,['jm01'],kj98,Tahtimarssi 3,90650,OULU,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2016-11-18,,1.2.246.562.10.32595826036,Suomussalmen kunta,0189925-7,KUNTA,,Kauppakatu 20,89601,ÄMMÄNSAARI,1978-03-15,
1.2.246.562.10.65044002874,TARVAISTEN PÄIVÄKOTI,TARVAISTEN PÄIVÄKOTI,21,['jm01'],kj98,KARJALANTIE 10,23100,MYNÄMÄKI,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.90815921417,Rääkkylän kunta,0169967-7,KUNTA,,Kinnulantie 1,82300,RÄÄKKYLÄ,1978-03-15,
1.2.246.562.10.65049887527,Rajakylän päiväkoti,Rajakylän päiväkoti,135,['jm01'],kj98,Ruiskukkatie 1,90580,OULU,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.70991205496,Nakkilan kunta,0135662-3,KUNTA,,Porintie 11,29250,NAKKILA,1978-03-15,
1.2.246.562.10.65050997645,MÄNTYMÄEN PÄIVÄKOTI TALLBACKENS DAGHEM,MÄNTYMÄEN PÄIVÄKOTI TALLBACKENS DAGHEM,84,['jm01'],kj98,MÄNTYMÄENTIE 3,01150,SÖDERKULLA,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,,2003-08-01,,1.2.246.562.10.96844643021,Rautavaaran kunta,0172646-0,KUNTA,,Koulutie 1,00000,,1978-03-15,
1.2.246.562.10.65135276502,TAIMON PÄIVÄKOTI,TAIMON PÄIVÄKOTI,62,['jm01'],kj98,SOINISTENTIE 3,21110,NAANTALI,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,2001-01-01,,1.2.246.562.10.32554715246,Tyrnävän kunta,0190140-9,KUNTA,,Kunnankuja 4,91800,TYRNÄVÄ,1978-03-15,
1.2.246.562.10.65168116526,Ahtialan päiväkoti,Ahtialan päiväkoti,16,['jm01'],kj98,Rämsööntie 967,37350,VESILAHTI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2011-01-08,,1.2.246.562.10.77043054657,Halsuan kunta,0177826-0,KUNTA,,Kauppisentie 5,69510,HALSUA,1978-03-15,
1.2.246.562.10.65175442832,Viholan päiväkoti,Viholan päiväkoti,105,['jm01'],kj98,Pyhäjärventie 18,37120,NOKIA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-20,,1.2.246.562.10.65272201065,Liperin kunta,0169583-6,KUNTA,,Varolantie 3,83100,LIPERI,1978-03-15,
1.2.246.562.10.65228671445,Kostian koulun pienluokka,Kostian koulun pienluokka,12,['jm01'],kj98,Onkkaalantie 73,36600,PÄLKÄNE,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,,2018-08-01,2028-05-31,1.2.246.562.10.56897525871,Kurikan kaupunki,0209046-8,KUNTA,,Kärrytie 1,61300,KURIKKA,1978-06-30,
1.2.246.562.10.65279616653,"Simpeleen päiväkoti, Simpeleentie","Simpeleen päiväkoti, Simpeleentie",24,['jm01'],kj98,Simpeleentie 40,56800,Simpele,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,2016-08-08,,1.2.246.562.10.85996043247,Ilomantsin kunta,0167589-4,KUNTA,,Soihtulantie 7,82900,ILOMANTSI,1978-03-15,
1.2.246.562.10.65539475916,Luolajan Koulun Esiopetus,Luolajan Koulun Esiopetus,14,['jm01'],kj98,Vesitie 14,13500,Hämeenlinna,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.10063814452,Iin kunta,2054621-1,KUNTA,,Jokisuuntie 2,91100,II,2006-08-24,
1.2.246.562.10.65548028326,Päiväkoti Mesikämmen,Päiväkoti Mesikämmen,123,['jm01'],kj98,Helsingintie 57 - 59,24100,SALO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.61276451822,Loviisan kaupunki,0203263-9,KUNTA,,Karlskronabulevarden 8,07900,LOVIISA,1978-06-30,
1.2.246.562.10.65566047802,KYRKOBY FÖRSKOLA,KYRKOBY FÖRSKOLA,42,['jm01'],kj98,STORA BYVÄGEN 3,04130,SIBBO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2009-08-01,,1.2.246.562.10.31717716703,Haminan kaupunki,0242496-6,KUNTA,,Fredrikinkatu 4,49400,HAMINA,1978-12-17,
1.2.246.562.10.65604628613,Hattelmalan Päiväkoti,Hattelmalan Päiväkoti,75,['jm01'],kj98,Lehmusrinne 1,13100,Hämeenlinna,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,2018-08-01,,1.2.246.562.10.37266906215,Paltamon kunta,0188808-0,KUNTA,,Vaarankyläntie 7,88300,PALTAMO,1978-03-15,
1.2.246.562.10.65637729511,PUHOKSEN PÄIVÄKOTI,PUHOKSEN PÄIVÄKOTI,81,['jm01'],kj99,KARTANONTIE 5,82430,PUHOS,tm01,True,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2012-01-01,,1.2.246.562.10.89190050412,Ristijärven kunta,0189576-6,KUNTA,,Aholantie 28,88400,RISTIJÄRVI,1978-03-15,
1.2.246.562.10.65774949419,Hepopuiston päiväkoti,Hepopuiston päiväkoti,70,['jm01'],kj98,Hevoshaantie 2,01200,Vantaa,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2002-10-01,,1.2.246.562.10.55414194963,Kosken Tl kunta,0213007-9,KUNTA,,Härkätie 5,31500,KOSKI TL,1978-05-29,
1.2.246.562.10.65797821801,UOTSOLAN PÄIVÄKOTI,UOTSOLAN PÄIVÄKOTI,33,['jm01'],kj98,UOTSOLANTIE 49,38460,SASTAMALA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-08-01,,1.2.246.562.10.90602482102,Limingan kunta,0186553-2,KUNTA,,Iivarinpolku 6,91900,LIMINKA,1978-03-15,
1.2.246.562.10.65851994197,Sammon päiväkoti,Sammon päiväkoti,126,['jm01'],kj98,Lemminkäisenkatu 11,33540,TAMPERE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,2003-01-01,,1.2.246.562.10.77047788581,Kangasalan Kaupunki,1923299-5,KUNTA,,Kunnantie 1,36200,KANGASALA,2004-10-06,
1.2.246.562.10.65909310602,JOKIKUMMUN PÄIVÄKOTI,JOKIKUMMUN PÄIVÄKOTI,40,['jm01'],kj98,JOKITIE 1,21310,VAHTO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2002-01-01,,1.2.246.562.10.71948887212,Kemin kaupunki,0210427-6,KUNTA,,Valtakatu 26,94100,KEMI,1978-06-30,
1.2.246.562.10.65930700094,Peiponpesä,Peiponpesä,37,['jm01'],kj98,Koivutie 22,42300,JÄMSÄNKOSKI,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2018-08-01,,1.2.246.562.10.14921103447,Lemin kunta,0162576-6,KUNTA,,Toukkalantie 2,54710,LEMI,1978-03-15,
1.2.246.562.10.65938536698,OINOLAN PÄIVÄKOTI,OINOLAN PÄIVÄKOTI,21,['jm01'],kj98,TIEDONPOLKU 3,09810,NUMMI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2015-01-01,,1.2.246.562.10.93032730884,Hyvinkään kaupunki,0125866-0,KUNTA,,Kankurinkatu 4-6,05800,HYVINKÄÄ,1978-03-15,
1.2.246.562.10.65960870494,Ravurin päiväkoti,Ravurin päiväkoti,102,['jm01'],kj98,Kaviokuja 5,01200,Vantaa,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1990-08-01,,1.2.246.562.10.50945318033,Vaasan kaupunki,0209602-6,KUNTA,,Vaasanpuistikko 10,65100,VAASA,1978-06-30,
1.2.246.562.10.65974537766,Urheilupuiston päiväkoti,Urheilupuiston päiväkoti,84,['jm01'],kj98,Lummetie 27,01300,Vantaa,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1990-08-01,,1.2.246.562.10.61320174057,Ylivieskan kaupunki,0190557-3,KUNTA,,Valtakatu 4,84100,YLIVIESKA,1978-03-15,
1.2.246.562.10.65987191254,Päiväkoti Kerttula,Päiväkoti Kerttula,33,['jm01'],kj98,Kappelitie 4,58900,Rantasalmi,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2019-06-28,2019-07-29,1.2.246.562.10.598076637910,Savitaipaleen kunta,0163109-0,KUNTA,,Kirkkotie 6,54800,SAVITAIPALE,1978-03-15,
1.2.246.562.10.66034981010,Etelärinteen päiväkoti,Etelärinteen päiväkoti,42,['jm01'],kj98,Kiekontie 14,04320,Tuusula,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1987-01-01,,1.2.246.562.10.37521062804,Kaustisen kunta,0178981-6,KUNTA,,Kappelintie 13,69600,KAUSTINEN,1978-03-15,
1.2.246.562.10.66081644354,Pikkukokon päiväkoti,Pikkukokon päiväkoti,60,['jm01'],kj98,Pikkukokko 2,90450,KEMPELE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.25511125012,Pudasjärven kaupunki,0188962-2,KUNTA,,Varsitie 7,93100,PUDASJÄRVI,1978-03-15,
1.2.246.562.10.66184578004,Knuutilankankaan päiväkoti,Knuutilankankaan päiväkoti,54,['jm01'],kj98,Knuutilankankaantie 10,90240,OULU,tm01,False,0,1,0,0,0,0,0,0,0,0,True,1,1,0,,2004-01-01,,1.2.246.562.10.81321154148,Vesilahden kunta,0157711-9,KUNTA,,Lindinkuja 1,37470,VESILAHTI,1978-03-15,
1.2.246.562.10.66199001174,PK Aleksi,PK Aleksi,77,['jm01'],kj98,Aleksanterinkatu 1,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,0,0,,1995-01-01,,1.2.246.562.10.61375893973,Vieremän kunta,0173835-7,KUNTA,,Myllyjärventie 1,74200,VIEREMÄ,1978-03-15,
1.2.246.562.10.66208423153,KARVETIN PÄIVÄKOTI,KARVETIN PÄIVÄKOTI,70,['jm01'],kj98,KARVETINKATU 1,21100,NAANTALI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1983-03-01,,1.2.246.562.10.722837895010,Ylöjärven kaupunki,0158221-7,KUNTA,,Kuruntie 14,33470,YLÖJÄRVI,1978-03-15,
1.2.246.562.10.66211791083,PK Liinakko,PK Liinakko,70,['jm01'],kj98,Rekipellonkuja 1,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,1,0,0,0,0,False,1,0,0,,1991-02-11,,1.2.246.562.10.64495287985,Hämeenkyrön kunta,0132947-3,KUNTA,,Härkikuja 7,39100,HÄMEENKYRÖ,1978-03-15,
1.2.246.562.10.66232679069,Telkän päiväkoti,Telkän päiväkoti,42,['jm01'],kj98,Kemianraitti 3,33720,TAMPERE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-01,2019-01-07,1.2.246.562.10.29177766721,Lapinjärven kunta,0203135-3,KUNTA,,Lapinjärventie 20 A,07800,LAPINJÄRVI,1978-06-30,
1.2.246.562.10.66244240785,LASITEHTAAN KOULU,LASITEHTAAN KOULU,21,['jm01'],kj98,TEHTAANKATU 27,11910,RIIHIMÄKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2007-01-01,,1.2.246.562.10.33304449151,Hankasalmen kunta,0174035-0,KUNTA,,Keskustie 41,41520,HANKASALMI,1978-03-15,
1.2.246.562.10.66293950615,HIRSILÄN PÄIVÄKOTI,HIRSILÄN PÄIVÄKOTI,0,['jm01'],kj98,HARJULANTIE 15,35320,HIRSILÄ,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,0,0,,2019-08-01,,1.2.246.562.10.74499914872,Oriveden kaupunki,0151789-6,KUNTA,,KESKUSTIE 23,35300,ORIVESI,1978-03-15,
1.2.246.562.10.66301242245,Arkeologinkadun päivähoitoyksikkö,Arkeologinkadun päivähoitoyksikkö,140,['jm01'],kj98,Arkeologinkatu 9,20460,TURKU,tm01,True,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2004-01-01,,1.2.246.562.10.28324836593,Vaalan kunta,0190027-0,KUNTA,,VAALANTIE 14,91700,VAALA,1978-03-15,
1.2.246.562.10.66358394105,Takkapolun päiväkoti,Takkapolun päiväkoti,120,['jm01'],kj98,Takkapolku 2,70820,KUOPIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.76839260437,Pöytyän kunta,1929519-5,KUNTA,,Kehityksentie 6,21800,KYRÖ,2004-11-11,
1.2.246.562.10.66362225022,EKHOLMINTIEN PÄIVÄKOTI,EKHOLMINTIEN PÄIVÄKOTI,150,['jm01'],kj98,LAUTTAKATU 6,45700,KUUSANKOSKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2007-08-01,,1.2.246.562.10.40384720658,Alajärven kaupunki,0177619-3,KUNTA,,Alvar Aallon tie 1,62900,ALAJÄRVI,1978-03-15,
1.2.246.562.10.66364297904,Kivitaipaleen päiväkoti,Kivitaipaleen päiväkoti,36,['jm01'],kj98,Taipaleentie 65,97670,KIVITAIPALE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2006-01-01,,1.2.246.562.10.72963804215,Miehikkälän kunta,0162675-0,KUNTA,,Keskustie 4 A,49700,MIEHIKKÄLÄ,1978-03-15,
1.2.246.562.10.66436729009,PÄIVÄKOTI KURRELA,PÄIVÄKOTI KURRELA,30,['jm01'],kj98,RUUKINTIE 27,86100,PYHÄJOKI,tm01,False,0,0,0,0,0,0,1,0,0,0,False,1,1,0,,2000-01-01,,1.2.246.562.10.33536687966,Vesannon kunta,0173787-2,KUNTA,,Keskustie 5,72300,VESANTO,1978-03-15,
1.2.246.562.10.66445220461,Viktoria daghem,Viktoria daghem,36,['jm01'],kj98,Storgatan 1,68600,JAKOBSTAD,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,1968-08-01,,1.2.246.562.10.28655667336,Malax kommun,0180948-5,KUNTA,,Malmgatan 5,00000,Ei tiedossa,1978-03-15,
1.2.246.562.10.66491856424,Tenavakoti,Tenavakoti,108,['jm01'],kj98,Hanneksenrinne 3,60220,SEINÄJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2012-12-01,,1.2.246.562.10.94205660312,Pedersöre kommun,0198517-1,KUNTA,,Skrufvilankatu 2,68911,PÄNNÄINEN,1978-06-16,
1.2.246.562.10.66496493181,TENAVAKALLION PÄIVÄKODIN ESIO,TENAVAKALLION PÄIVÄKODIN ESIO,8,['jm01'],kj98,TAIMIPOLKU 2,26660,RAUMA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2019-01-01,,1.2.246.562.10.33969312488,Porin kaupunki,0137323-9,KUNTA,,Antinkatu 2,28100,PORI,1978-03-15,
1.2.246.562.10.66501779913,JAAKONKUJAN PÄIVÄKOTI,JAAKONKUJAN PÄIVÄKOTI,32,['jm01'],kj98,JAAKONKUJA 13,60800,ILMAJOKI,tm01,False,0,0,0,0,0,0,0,0,0,1,True,1,1,0,,2016-05-01,,1.2.246.562.10.78354624187,Padasjoen kunta,0151924-2,KUNTA,,Kellosalmentie 20,17500,PADASJOKI,1978-03-15,
1.2.246.562.10.66518834875,LALLIN KOULU,LALLIN KOULU,13,['jm01'],kj98,PYHÄN HENRIKINTIE 121,27840,KÖYLIÖ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,2011-01-01,,1.2.246.562.10.30765733321,Toivakan kunta,0177201-0,KUNTA,,Toivakantie 49,41660,TOIVAKKA,1978-03-15,
1.2.246.562.10.66532618064,Kurun päiväkoti,Kurun päiväkoti,42,['jm01'],kj98,Virastotie 12,34300,KURU,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2008-12-15,,1.2.246.562.10.95467913869,Kärkölän kunta,0148268-9,KUNTA,,Virkatie 1,16600,JÄRVELÄ,1978-03-15,
1.2.246.562.10.66569161368,SAMPAANALAN PÄIVÄKOTI,SAMPAANALAN PÄIVÄKOTI,115,['jm01'],kj98,SAMPAANALANTIE 38,26820,RAUMA,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,,1973-11-01,,1.2.246.562.10.63182395085,Virolahden kunta,0207033-6,KUNTA,,Opintie 4,49901,VIROLAHTI,1978-06-30,
1.2.246.562.10.66622629369,NAHKALINNAN PÄIVÄKOTI,NAHKALINNAN PÄIVÄKOTI,40,['jm01'],kj98,HILMANKUJA 4,37830,AKAA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,1991-08-01,,1.2.246.562.10.73481747332,Soinin kunta,0182637-3,KUNTA,,MULTIANTIE 27 A,63800,SOINI,1978-03-15,
1.2.246.562.10.66734583769,PK Puro,PK Puro,63,['jm01'],kj98,Lallukankuja 5 A,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2014-04-01,,1.2.246.562.10.52111966223,Ikaalisten kaupunki,0203797-4,KUNTA,,VALTAKATU 5,39500,IKAALINEN,1978-06-30,
1.2.246.562.10.66782901459,Kyrkekan förskola/daghem,Kyrkekan förskola/daghem,15,['jm01'],kj98,SKOLHUSVÄGEN 31,68600,JAKOBSTAD,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.60597986037,Luhangan kunta,0176592-9,KUNTA,,HAKULINTIE 2,19950,LUHANKA,1978-03-15,
1.2.246.562.10.66793395311,Bosund Eftis I,Bosund Eftis I,15,['jm01'],kj98,Skolvägen 13,68555,BOSUND,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.28896655868,Lestijärven kunta,0180774-6,KUNTA,,Lestintie 39,69440,LESTIJÄRVI,1978-03-15,
1.2.246.562.10.66794343310,Metsämajan päiväkoti,Metsämajan päiväkoti,42,['jm01'],kj98,Asematie 24,02700,KAUNIAINEN,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,1,0,,2009-08-01,,1.2.246.562.10.37294919826,Hämeenlinnan kaupunki,0146921-4,KUNTA,,Raatihuoneenkatu 9,13100,HÄMEENLINNA,1978-03-15,
1.2.246.562.10.66812899608,Kalliorinteen päiväkoti,Kalliorinteen päiväkoti,21,['jm01'],kj98,Kaapinrinne 5,25570,TEIJO,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,,2008-08-01,,1.2.246.562.10.50618575976,Ruoveden kunta,0152842-1,KUNTA,,Ruovedentie 32,34600,RUOVESI,1978-03-15,
1.2.246.562.10.66845343160,PK Impivaara,PK Impivaara,98,['jm01'],kj98,Sompiontori 3,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1989-03-01,,1.2.246.562.10.62818926438,Imatran kaupunki,0159216-7,KUNTA,,Virastokatu 2,55100,IMATRA,1978-03-15,
1.2.246.562.10.66887756766,PK Kaunokki,PK Kaunokki,91,['jm01'],kj98,Tuohipolku 10,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,1995-01-01,,1.2.246.562.10.67094744702,Porvoon kaupunki,1061512-1,KUNTA,,Taidetehtaankatu 1,06100,BORGÅ,1996-09-24,
1.2.246.562.10.66914054318,PK Sakara,PK Sakara,119,['jm01'],kj98,Kontulankaari 5,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,1995-01-01,,1.2.246.562.10.45754497167,Laitilan kaupunki,0134480-9,KUNTA,,Keskuskatu 30,23800,LAITILA,1978-03-15,
1.2.246.562.10.66999367684,Mäntylä-Snellman päiväkoti,Mäntylä-Snellman päiväkoti,117,['jm01'],kj98,Snellmanintie 2,90150,OULU,tm01,True,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.97036773279,Korsnäs kommun,0179699-5,KUNTA,,STRANDVÄGEN 4323,66200,KORSNÄS,1978-03-15,
1.2.246.562.10.67039862924,Metsälauha,Metsälauha,108,['jm01'],kj98,Yläneentie 10 B,21870,RIIHIKOSKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2004-01-01,,1.2.246.562.10.63862156526,Jämsän kaupunki,0175622-1,KUNTA,,Seppolantie 10,42100,JÄMSÄ,1978-03-15,
1.2.246.562.10.67050217081,Nallemuorin päiväkoti,Nallemuorin päiväkoti,40,['jm01'],kj98,Rutakontie 16,74300,SONKAJÄRVI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2008-10-01,,1.2.246.562.10.99616449197,Vörå kommun,2050514-5,KUNTA,,Vöråvägen 18,66600,VÖYRI,2006-08-01,
1.2.246.562.10.67050425551,Katuman Päiväkoti,Katuman Päiväkoti,57,['jm01'],kj98,Kaivohaka 3-5,13210,Hämeenlinna,tm01,False,0,0,1,0,0,0,0,1,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.21531172977,Mikkelin kaupunki,0165116-3,KUNTA,,Maaherrankatu 9-11,50101,MIKKELI,1978-03-15,
1.2.246.562.10.67089778038,Luopioinen esiopetus,Luopioinen esiopetus,20,['jm01'],kj98,Rajantie 9,36760,Luopioinen,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,2014-04-01,,1.2.246.562.10.96098984634,Pukkilan kunta,0130729-0,KUNTA,,Hallitustie 2,07560,PUKKILA,1978-03-15,
1.2.246.562.10.67095189519,RISTIN KOULU/ VIRKKALA,RISTIN KOULU/ VIRKKALA,42,['jm01'],kj98,TYNNINHARJUNTIE 1,08700,LOHJA,tm01,False,1,0,0,1,0,0,0,0,0,0,False,1,0,0,,2014-08-01,,1.2.246.562.10.46853766502,Taivassalon kunta,0139991-4,KUNTA,,Keskustie 9,23310,TAIVASSALO,1978-03-15,
1.2.246.562.10.67107106212,KESÄMÄEN PÄIVÄKOTI,KESÄMÄEN PÄIVÄKOTI,97,['jm01'],kj98,KESKIKESÄNTIE 21,20780,KAARINA,tm01,False,1,0,0,0,0,0,0,0,0,0,True,1,0,0,,1983-04-04,,1.2.246.562.10.53296533424,Isonkyrön kunta,0178131-2,KUNTA,,Pohjankyröntie 136,00000,,1978-03-15,
1.2.246.562.10.67108049858,PK Suomenlinna,PK Suomenlinna,57,['jm01'],kj98,Suomenlinna C 31,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,es,1995-01-01,,1.2.246.562.10.25837481214,Kustavin kunta,0134349-4,KUNTA,,Keskustie 7,23360,KUSTAVI,1978-03-15,
1.2.246.562.10.67113147861,Pöykkölän päiväkoti,Pöykkölän päiväkoti,95,['jm01'],kj98,Muonakuja 3,96460,ROVANIEMI,tm01,False,0,0,0,0,0,1,0,0,0,0,False,1,0,1,,2002-08-01,,1.2.246.562.10.38289846321,Tervon kunta,0173081-4,KUNTA,,Tervontie 4,72210,TERVO,1978-03-15,
1.2.246.562.10.67126360022,Friluftsdaghem,Friluftsdaghem,24,['jm01'],kj98,Norra Larsmovägen 70,68570,LARSMO,tm01,False,0,0,0,0,0,0,0,0,0,1,False,1,0,1,,2016-08-01,,1.2.246.562.10.97046002305,Rautalammin kunta,0172586-3,KUNTA,,Kuopiontie 11,77700,RAUTALAMPI,1978-03-15,
1.2.246.562.10.67141930635,Rakokiven päiväkoti,Rakokiven päiväkoti,105,['jm01'],kj98,Rapparintie 5,15550,NASTOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,2015-09-01,,1.2.246.562.10.81302392022,Hirvensalmen kunta,0164384-1,KUNTA,,Keskustie 2,52550,HIRVENSALMI,1978-03-15,
1.2.246.562.10.67247086191,Språkbadsskolan,Språkbadsskolan,72,['jm01'],kj98,Paul Hallvarsgatan 1 / Paul Hallvarinkatu 1,68600,JAKOBSTAD,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2008-08-01,,1.2.246.562.10.83118127493,Kuhmoisten kunta,0176357-9,KUNTA,,Toritie 34 A,17800,KUHMOINEN,1978-03-15,
