toimipaikka_oid,nimi,nimi_sv,varhaiskasvatuspaikat,jarjestamismuoto_koodi,kasvatusopillinen_jarjestelma_koodi,toimipaikka_kayntiosoite,toimipaikka_kayntiosoite_postinumero,toimipaikka_kayntiosoite_postitoimipaikka,toimintamuoto_koodi,varda_toiminnallinenpainotus.toimintapainotus_kytkin,tp01_musiikki,tp02_liikunta,tp03_kuvataide,tp04_tiede,tp05_draama,tp06_ymparisto_ja_luonto,tp07_seikkailu,tp08_media,tp09_maailmankatsomuksellinen,tp99_muu,kielipainotus_kytkin,kielipainotus_fi,kielipainotus_sv,kielipainotus_en,kielipainotus_muu,alkamis_pvm,paattymis_pvm,jarjestaja_oid,jarjestaja_nimi,jarjestaja_y_tunnus,jarjestaja_yritysmuoto,jarjestaja_ytjkieli,jarjestaja_kayntiosoite,jarjestaja_kayntiosoite_postinumero,jarjestaja_kayntiosoite_postitoimipaikka,jarjestaja_alkamis_pvm,jarjestaja_paattymis_pvm
1.2.246.562.10.24972261879,HONKILAHDEN PÄIVÄKOTI,HONKILAHDEN PÄIVÄKOTI,0,['jm01'],kj98,KOSKENKYLÄNRAITTI   21 A,27650,HONKILAHTI,tm01,True,0,0,0,0,0,0,0,0,1,0,True,1,0,0,,1979-05-01,,1.2.246.562.10.16710959665,Sallan kunta,0192936-4,KUNTA,,Postipolku 3,98901,SALLA,1978-03-15,
1.2.246.562.10.24995795705,PÄIVÄKOTI PIKKUVANHA,PÄIVÄKOTI PIKKUVANHA,53,['jm01'],kj98,ORITKUJA 1,04430,JÄRVENPÄÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,es,2001-08-01,,1.2.246.562.10.991564988110,Rovaniemen kaupunki,1978283-1,KUNTA,,Hallituskatu 7,96100,ROVANIEMI,2005-08-08,
1.2.246.562.10.25153510679,Suopursun päiväkoti,Suopursun päiväkoti,116,['jm01'],kj98,Litmasenkuja 3,70820,KUOPIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.47172297039,Ulvilan kaupunki,0204910-7,KUNTA,,LOUKKURANTIE 1,28450,VANHA-ULVILA,1978-06-30,
1.2.246.562.10.25154420779,Halssilan päiväkoti,Halssilan päiväkoti,96,['jm01'],kj98,Hukkaperä 1,40400,JYVÄSKYLÄ,tm01,False,0,0,0,0,0,0,1,0,1,0,False,1,0,1,,1985-08-01,,1.2.246.562.10.74484103937,Lempäälän kunta,0150783-1,KUNTA,,TAMPEREENTIE 6,37500,LEMPÄÄLÄ,1978-03-15,
1.2.246.562.10.25176150990,PK Myllytupa,PK Myllytupa,49,['jm01'],kj98,Myllärintie 2 A,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,1989-08-01,,1.2.246.562.10.75341760405,Helsingin Juutalainen seurakunta,0116484-0,USKONNOLLINEN_YHDYSKUNTA,,MALMINKATU_26,00100,HELSINKI,1978-03-15,
1.2.246.562.10.25270878959,Päiväkoti Satumajakka,Päiväkoti Satumajakka,96,['jm01'],kj98,Peltotie 1,68100,Himanka,tm01,False,0,0,0,0,0,0,1,0,0,0,True,1,0,0,,1987-08-01,,1.2.246.562.10.984936049410,Merikarvian kunta,0135202-4,KUNTA,,Kauppatie 40,29900,MERIKARVIA,1978-03-15,
1.2.246.562.10.25330352490,PK Pikkusuo,PK Pikkusuo,252,['jm01'],kj98,Pikkusuonkuja 3-5,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,1,False,1,0,0,,1995-01-01,,1.2.246.562.10.94718574216,Naantalin kaupunki,0135457-2,KUNTA,,KÄSITYÖLÄISKATU 2,21100,NAANTALI,1978-03-15,
1.2.246.562.10.25353612507,Kukkula,Kukkula,48,['jm01'],kj98,Sotilastorpantie 4,65610,KORSHOLM,tm01,False,1,0,0,0,0,0,0,0,0,1,False,1,1,0,,2000-01-01,,1.2.246.562.10.33453628472,Kuhmon kaupunki,0186204-0,KUNTA,,Kainuuntie 82,00000,,1978-03-15,
1.2.246.562.10.25391495816,PK Merituuli,PK Merituuli,147,['jm01'],kj98,Suolakivenkuja 6,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1999-08-01,,1.2.246.562.10.57825579634,Hartolan kunta,0163734-5,KUNTA,,Kuninkaantie 16,19600,HARTOLA,1978-03-15,
1.2.246.562.10.25398219250,KYLMÄKOSKEN PÄIVÄKOTI,KYLMÄKOSKEN PÄIVÄKOTI,44,['jm01'],kj98,NUMMITIE 1,37910,AKAA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1993-08-01,,1.2.246.562.10.22840212959,Kolarin kunta,0191528-8,KUNTA,,Isopalontie 2,95900,KOLARI,1978-03-15,
